metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,GEMEINDE,Baden,286,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Baden,262,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,KANTON,Aargau,233,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,245,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,GEMEINDE,Baden,391,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Baden,356,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,KANTON,Aargau,306,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,399,CHF_M2_JAHR,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,GEMEINDE,Baden,8300,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Baden,9020,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,KANTON,Aargau,7960,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,7990,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_p90_chf_m2,"Eigentumswohnungen: Kaufpreis, 90%-Quantil",PREISE,2026/2,GEMEINDE,Baden,11500,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_p90_chf_m2,"Eigentumswohnungen: Kaufpreis, 90%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Baden,12300,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_p90_chf_m2,"Eigentumswohnungen: Kaufpreis, 90%-Quantil",PREISE,2026/2,KANTON,Aargau,10800,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_p90_chf_m2,"Eigentumswohnungen: Kaufpreis, 90%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,14900,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_median_chf_m2,"Einfamilienhäuser: Kaufpreis, 50%-Quantil",PREISE,2026/2,GEMEINDE,Baden,8360,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_median_chf_m2,"Einfamilienhäuser: Kaufpreis, 50%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Baden,9530,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_median_chf_m2,"Einfamilienhäuser: Kaufpreis, 50%-Quantil",PREISE,2026/2,KANTON,Aargau,8080,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_median_chf_m2,"Einfamilienhäuser: Kaufpreis, 50%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,7560,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_p90_chf_m2,"Einfamilienhäuser: Kaufpreis, 90%-Quantil",PREISE,2026/2,GEMEINDE,Baden,11400,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_p90_chf_m2,"Einfamilienhäuser: Kaufpreis, 90%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Baden,12400,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_p90_chf_m2,"Einfamilienhäuser: Kaufpreis, 90%-Quantil",PREISE,2026/2,KANTON,Aargau,11300,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_p90_chf_m2,"Einfamilienhäuser: Kaufpreis, 90%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,13900,CHF_M2,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_price_change_3y_pct,Mietwohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,GEMEINDE,Baden,13.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_price_change_3y_pct,Mietwohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,MS_REGION,MS-Region Baden,17.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_price_change_3y_pct,Mietwohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,KANTON,Aargau,13.1,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rent_price_change_3y_pct,Mietwohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,SCHWEIZ,Schweiz,11.4,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,GEMEINDE,Baden,3.1,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,MS_REGION,MS-Region Baden,13.2,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,KANTON,Aargau,14.9,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,SCHWEIZ,Schweiz,7.2,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,GEMEINDE,Baden,-2.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,MS_REGION,MS-Region Baden,8.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,KANTON,Aargau,8.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,SCHWEIZ,Schweiz,4.4,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index,Eigentumswohnungen: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,235.4,INDEX_2000_100,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index,Eigentumswohnungen: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,223.4,INDEX_2000_100,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index,Eigentumswohnungen: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,269.6,INDEX_2000_100,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_qoq_pct,Eigentumswohnungen: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,1.9,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_qoq_pct,Eigentumswohnungen: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,1.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_qoq_pct,Eigentumswohnungen: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,1.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_yoy_pct,Eigentumswohnungen: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,6.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_yoy_pct,Eigentumswohnungen: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,6.5,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_yoy_pct,Eigentumswohnungen: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,4.3,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_3y_pct,Eigentumswohnungen: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,13.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_3y_pct,Eigentumswohnungen: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,15.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_transaction_index_3y_pct,Eigentumswohnungen: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,12.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index,Einfamilienhäuser: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,237.6,INDEX_2000_100,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index,Einfamilienhäuser: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,223.2,INDEX_2000_100,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index,Einfamilienhäuser: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,243.8,INDEX_2000_100,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_qoq_pct,Einfamilienhäuser: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,1.9,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_qoq_pct,Einfamilienhäuser: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,2.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_qoq_pct,Einfamilienhäuser: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,1.5,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_yoy_pct,Einfamilienhäuser: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,4.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_yoy_pct,Einfamilienhäuser: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,5.1,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_yoy_pct,Einfamilienhäuser: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,4.3,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_3y_pct,Einfamilienhäuser: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Baden,14.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_3y_pct,Einfamilienhäuser: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,14.9,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_transaction_index_3y_pct,Einfamilienhäuser: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,12.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population,Anzahl Einwohner,NACHFRAGE,2024,GEMEINDE,Baden,23853,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population,Anzahl Einwohner,NACHFRAGE,2024,MS_REGION,MS-Region Baden,123527,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population,Anzahl Einwohner,NACHFRAGE,2024,KANTON,Aargau,735808,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population,Anzahl Einwohner,NACHFRAGE,2024,SCHWEIZ,Schweiz,9051029,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,GEMEINDE,Baden,5.5,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,MS_REGION,MS-Region Baden,4.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,KANTON,Aargau,4.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,SCHWEIZ,Schweiz,3.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
households,Anzahl Haushalte,NACHFRAGE,2024,GEMEINDE,Baden,11509,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
households,Anzahl Haushalte,NACHFRAGE,2024,MS_REGION,MS-Region Baden,54586,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
households,Anzahl Haushalte,NACHFRAGE,2024,KANTON,Aargau,320967,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
households,Anzahl Haushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,4063044,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,GEMEINDE,Baden,40.9,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,MS_REGION,MS-Region Baden,35.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,KANTON,Aargau,33.4,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,37.3,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,GEMEINDE,Baden,33.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,MS_REGION,MS-Region Baden,32.6,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,KANTON,Aargau,34.7,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,32.4,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,GEMEINDE,Baden,26.1,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,MS_REGION,MS-Region Baden,31.8,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,KANTON,Aargau,31.9,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,30.3,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
