metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,GEMEINDE,Wohlen (AG),239,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Freiamt,233,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,KANTON,Aargau,233,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_median_chf_m2_year,"Mietwohnungen: Nettomiete, 50%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,245,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,GEMEINDE,Wohlen (AG),301,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Freiamt,298,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,KANTON,Aargau,306,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_p90_chf_m2_year,"Mietwohnungen: Nettomiete, 90%-Quantil",PREISE,2026/2,SCHWEIZ,Schweiz,399,CHF_M2_JAHR,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,GEMEINDE,Wohlen (AG),6900,CHF_M2,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,MS_REGION,MS-Region Freiamt,8120,CHF_M2,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_median_chf_m2,"Eigentumswohnungen: Kaufpreis, 50%-Quantil",PREISE,2026/2,KANTON,Aargau,7960,CHF_M2,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
